target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex,retrieval_metric
#4f86c6,retrieval,1,20.696203756400003,240.84127099,5.389995161240001,27.10193534869802,#695972,delta_e_2000
#4f86c6,cgan,1,7.452322695371693,62.75761384242531,20.394748508557278,34.67154483463937,#6e5c49,delta_e_2000
#4f86c6,cgan,2,1.2765911142581052,41.316593139570216,27.09481364730413,35.003791908624244,#74624b,delta_e_2000
#4f86c6,cgan,3,10.051457205413717,57.007631751864714,15.459626716973201,35.288669336459044,#725e49,delta_e_2000
#4f86c6,cgan,4,1.0715556015818926,45.40330280847313,29.23713439135387,35.65643647204633,#6e5c47,delta_e_2000
#4f86c6,cgan,5,11.063855479628938,51.13943093876517,13.393519628672522,35.67065317431756,#735f48,delta_e_2000
#4f86c6,cgan,6,9.90446134076859,58.65418927174101,16.83671604619693,35.8560855291366,#6c5945,delta_e_2000
#4f86c6,cgan,7,26.421198110647037,999.1801809452809,1.5625276533518018,35.94227368111063,#705a45,delta_e_2000
#4f86c6,cgan,8,0.1530296760531095,50.795242538923155,31.556808192451324,36.01079550310714,#6f5d46,delta_e_2000
#4f86c6,cgan,9,19.192772689269077,998.6186019674901,14.824558117590676,36.0552228361112,#915c50,delta_e_2000
#4f86c6,cgan,10,14.11048629567408,56.40813784866026,11.773598733340926,36.1406045408949,#6c5943,delta_e_2000
#4f86c6,cgan,11,10.318301734427871,53.541738940879135,15.4233467042615,36.14546312853154,#6e5b44,delta_e_2000
#4f86c6,cgan,12,26.607137471146157,62.047847034711694,0.13836394643160232,36.196727817833775,#6e5b44,delta_e_2000
#4f86c6,cgan,13,4.484587289279003,52.99334339018978,25.057074346173046,36.25797674180499,#695742,delta_e_2000
#4f86c6,cgan,14,6.181232545736777,57.08585689617212,22.994272213852103,36.283696805814024,#685641,delta_e_2000
#4f86c6,cgan,15,0.09361314433997729,49.769006427457406,32.06180785025273,36.31582238881628,#6d5b44,delta_e_2000
#4f86c6,cgan,16,12.668369976371524,50.58401341574288,12.623166873133096,36.52260024205235,#6e5a43,delta_e_2000
#d15f3f,retrieval,1,20.8154221358,152.245491396,24.1337458382,17.45535745519266,#d96a00,delta_e_2000
#d15f3f,cgan,1,20.407958768889525,775.5002104996569,15.846771465729942,19.033844905570888,#a5414f,delta_e_2000
#d15f3f,cgan,2,17.977766910509484,770.4532116562697,22.382505193194135,21.069337111955882,#9f3a4c,delta_e_2000
