target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex,retrieval_metric
#4f86c6,retrieval,1,20.696203756400003,240.84127099,5.389995161240001,27.10193534869802,#695972,delta_e_2000
#4f86c6,cgan,1,18.149483364258025,282.3516159308145,18.011961670725107,19.628941255745488,#006082,delta_e_2000
#4f86c6,cgan,2,4.920610276659516,595.6982616246368,17.30682442842509,25.788446384746198,#947e83,delta_e_2000
#4f86c6,cgan,3,8.968314684750744,614.7086815509117,16.817203693376996,26.57501962800645,#72776f,delta_e_2000
#4f86c6,cgan,4,15.03790028065874,617.5075167917419,15.956013820418038,28.16914038757905,#685a62,delta_e_2000
#4f86c6,cgan,5,1.7206866629085242,388.10158051849123,5.9233636126610145,29.47806905230453,#d6daec,delta_e_2000
#4f86c6,cgan,6,0.48008756809973435,375.9788176814256,27.855844579304684,30.049348194467285,#685657,delta_e_2000
#4f86c6,cgan,7,6.489387950709687,707.8595067381613,16.703337678452147,32.05888068462588,#b8998b,delta_e_2000
#4f86c6,cgan,8,4.723206538076346,382.6052946516921,20.45579483025868,32.722779878204975,#965a7a,delta_e_2000
#4f86c6,cgan,9,1.1038720163629117,966.7704222377326,15.892838201108411,33.11032468619994,#b1a08c,delta_e_2000
#4f86c6,cgan,10,10.858477153177523,897.5070282119242,7.883731107891886,33.14333580430126,#b6ae9d,delta_e_2000
#4f86c6,cgan,11,10.352969417718134,871.8670915650254,12.574593854635639,33.24381262048516,#82a990,delta_e_2000
#4f86c6,cgan,12,6.6962481714265225,580.8024716233047,17.238396343007008,33.45817301786629,#b46495,delta_e_2000
#4f86c6,cgan,13,7.850519381695097,885.4673518846273,15.486623647740025,33.53276225155735,#94a18b,delta_e_2000
#4f86c6,cgan,14,5.846287934552389,908.8662176798031,15.748890828510497,33.59607391666676,#b69984,delta_e_2000
#4f86c6,cgan,15,17.719851744376715,257.3518149474131,18.647039210475477,33.9667887334817,#472285,delta_e_2000
#4f86c6,cgan,16,9.627099013189854,896.9745950757955,12.498387649193115,34.438697005554,#a6a592,delta_e_2000
#d15f3f,retrieval,1,20.8154221358,152.245491396,24.1337458382,17.45535745519266,#d96a00,delta_e_2000
#d15f3f,cgan,1,22.775911068121857,555.8409953355857,30.214328517213744,20.24797348274553,#823725,delta_e_2000
#d15f3f,cgan,2,23.15848863359041,557.3126517292,29.531841696846968,20.289043456816316,#853527,delta_e_2000
#d15f3f,cgan,3,22.532306724035454,556.7693708565016,31.965016447848964,21.53563295920056,#7d3322,delta_e_2000
#d15f3f,cgan,4,22.331210170506804,553.3221747453246,32.33185464110895,21.586933200337306,#793822,delta_e_2000
#d15f3f,cgan,5,27.494387576764126,561.7168923793695,20.135154497772216,21.892403180870744,#922f3a,delta_e_2000
#d15f3f,cgan,6,21.829791986391257,552.3299048639552,33.05947243835317,22.026471331723815,#76391e,delta_e_2000
#d15f3f,cgan,7,24.852608932951394,561.8794296190677,28.135576768658773,22.77658986383837,#882b30,delta_e_2000
#d15f3f,cgan,8,22.900646481855837,550.255483855355,31.872406157473666,22.792342822894508,#753e16,delta_e_2000
#d15f3f,cgan,9,20.29882608502304,554.1336688848514,37.34613146946282,24.720054090499904,#6c2f1b,delta_e_2000
#d15f3f,cgan,10,20.183516979105107,549.5880500415891,36.86539895011315,25.45253253488954,#693711,delta_e_2000
#d15f3f,cgan,11,20.778535151438312,546.2305563674291,35.41634114980504,26.27549440611831,#683e11,delta_e_2000
#d15f3f,cgan,12,19.269448238002916,555.1713562127371,39.8523877673458,26.321680781344963,#662916,delta_e_2000
#d15f3f,cgan,13,18.326249732200143,548.5542369053354,40.56014006724024,27.782351839160118,#5e310d,delta_e_2000
#d15f3f,cgan,14,28.28148576949369,571.1621119751597,19.718053556492226,28.270319636390433,#911743,delta_e_2000
#d15f3f,cgan,15,29.224772190592248,571.3160067873711,17.666894763227024,28.589658350623882,#8e1843,delta_e_2000
#d15f3f,cgan,16,18.11617240769342,561.4064802252266,42.688859531676364,29.129453140387657,#621b19,delta_e_2000
#66aa55,retrieval,1,26.4523646234,132.562712661,25.3324172736,13.500221118084808,#008e29,delta_e_2000
#66aa55,cgan,1,18.735333014303507,503.50585184418804,36.46708470179641,33.53950266412576,#005300,delta_e_2000
#66aa55,cgan,2,17.83474362516211,506.34074686866956,37.541702016054366,33.58478739788435,#005100,delta_e_2000
#66aa55,cgan,3,18.25260353594655,501.62090860786503,37.07860884246128,34.133682072576995,#005100,delta_e_2000
#66aa55,cgan,4,17.178536406961356,501.97214878151414,38.50218361429084,34.719343940577595,#004e00,delta_e_2000
#66aa55,cgan,5,18.18804092686441,497.3856125143234,36.92731397755675,34.8543162669088,#005000,delta_e_2000
#66aa55,cgan,6,14.795488008379616,495.07400157342437,41.076184059451826,36.892655761808896,#004600,delta_e_2000
#66aa55,cgan,7,16.73153481075826,489.910747179604,38.44194043563411,37.07181243523674,#004800,delta_e_2000
#66aa55,cgan,8,13.982819875383955,488.4386437638784,41.88512046248414,38.456837258210506,#004000,delta_e_2000
#66aa55,cgan,9,12.536486602063155,491.47425171637,43.87058245270766,38.67341395802649,#003e00,delta_e_2000
#66aa55,cgan,10,14.963523940423189,484.750502734667,40.68339495846279,39.014156406761636,#004001,delta_e_2000
#66aa55,cgan,11,14.20645701669846,485.05882878562346,41.63507625461797,39.175251233799564,#003e00,delta_e_2000
#66aa55,cgan,12,11.636441095683823,490.91016941475544,45.12015680543108,39.34202647697815,#003b00,delta_e_2000
#66aa55,cgan,13,10.478578024050947,483.0408219674795,46.14256833172423,40.88947748472583,#003500,delta_e_2000
#66aa55,cgan,14,14.782375218499565,474.877721390078,39.71053989112996,41.06444335953841,#003a10,delta_e_2000
#66aa55,cgan,15,8.958613455374145,484.0963603783462,47.6949738041885,41.28818469906446,#063300,delta_e_2000
#66aa55,cgan,16,12.015692780810072,469.82368939880513,43.511272049172476,43.056689342299386,#003010,delta_e_2000
