epoch,discriminator_loss,generator_loss,evaluator_loss,real_score,fake_score,lab_mse,alpha
80.0,2.123573,0.002031,2.123573,,,1.995021,0.0002
160.0,2.065916,-0.0007,2.065916,,,1.864487,0.0004
240.0,2.052456,0.002672,2.052456,,,1.66741,0.0006
320.0,2.048465,-0.002486,2.048465,,,1.758103,0.0008
400.0,2.031823,0.006041,2.031823,,,1.793204,0.001
480.0,2.033596,-0.000272,2.033596,,,1.498334,0.0012
560.0,2.022875,0.005735,2.022875,,,1.583687,0.0014
640.0,2.016259,0.014621,2.016259,,,1.491515,0.0016
720.0,2.018402,0.012913,2.018402,,,1.56629,0.0018
800.0,2.011587,0.031896,2.011587,,,1.680471,0.002
880.0,2.013672,0.00875,2.013672,,,1.397815,0.0022
960.0,2.013658,0.033075,2.013658,,,1.504515,0.0024
1040.0,2.014146,0.007929,2.014146,,,1.292656,0.0026
1120.0,2.008384,0.056246,2.008384,,,1.305638,0.0028
1200.0,2.000158,0.045111,2.000158,,,1.318409,0.003
1280.0,2.004813,0.074787,2.004813,,,1.423565,0.0032
1360.0,2.000262,0.105551,2.000262,,,1.445449,0.0034
1440.0,2.00123,0.114405,2.00123,,,1.326409,0.0036
1520.0,1.997495,0.119172,1.997495,,,1.292134,0.0038
1600.0,1.994501,0.157757,1.994501,,,1.238455,0.004
1680.0,1.998677,0.156412,1.998677,,,1.112039,0.0042
1760.0,1.998675,0.137068,1.998675,,,0.963471,0.0044
1840.0,2.002034,0.156145,2.002034,,,1.070135,0.0046
1920.0,2.004491,0.14405,2.004491,,,1.089381,0.0048
2000.0,1.998642,0.159254,1.998642,,,0.984878,0.005
2080.0,1.999688,0.147439,1.999688,,,1.14613,0.0052
2160.0,1.995762,0.165296,1.995762,,,0.934649,0.0054
2240.0,1.998833,0.139709,1.998833,,,1.188116,0.0056
2320.0,1.999738,0.149687,1.999738,,,0.953683,0.0058
2400.0,2.001141,0.102027,2.001141,,,1.010431,0.006
2480.0,1.995735,0.108293,1.995735,,,0.982533,0.0062
2560.0,2.003158,0.090164,2.003158,,,0.804203,0.0064
2640.0,1.995167,0.083385,1.995167,,,0.801506,0.0066
2720.0,1.994089,0.104888,1.994089,,,0.822181,0.0068
2800.0,2.000051,0.120326,2.000051,,,0.750742,0.007
2880.0,1.99979,0.100604,1.99979,,,0.605482,0.0072
2960.0,1.996211,0.109403,1.996211,,,0.652956,0.0074
3040.0,1.998812,0.122373,1.998812,,,0.46145,0.0076
3120.0,1.994957,0.106098,1.994957,,,0.439538,0.0078
3200.0,1.997748,0.088804,1.997748,,,0.56749,0.008
3280.0,1.999896,0.098164,1.999896,,,0.483818,0.0082
3360.0,1.996933,0.08124,1.996933,,,0.415449,0.0084
3440.0,1.998058,0.095173,1.998058,,,0.413026,0.0086
