target_hex,source,rank,d_ag_bottom_nm,d_sio2_nm,d_ag_top_nm,delta_e,simulated_hex
#4f86c6,retrieval,1,19.6896656562,103.404519147,24.6576432539,13.26853621508243,#611e52
#4f86c6,cgan,1,4.821235073058039,99.55484987096631,24.542867599553443,67.41944451337078,#dc6b75
#4f86c6,cgan,2,4.982913537144427,634.3753299366939,5.697583190608642,77.4437968409473,#ffb8a8
#4f86c6,cgan,3,43.489377612988555,456.4912549268686,38.683679041773026,79.37249930160814,#13000c
#4f86c6,cgan,4,19.276737757104417,685.2093731780744,20.272563481353416,81.81232047030232,#706c29
#4f86c6,cgan,5,49.85837290455088,95.84237593815872,3.4508125015506144,82.78084484095886,#3f0f11
#4f86c6,cgan,6,35.62815875379453,838.5737787535957,16.387747163736343,89.930005993127,#660018
#d15f3f,retrieval,1,33.3435952882,141.704790115,21.5044467339,3.464558216601685,#9e6e00
#d15f3f,cgan,1,35.24768519506582,841.1333081574666,14.603608846812104,40.269667154138624,#670e19
#d15f3f,cgan,2,22.721011691127458,881.097204120819,40.52573753177582,41.404172003496576,#442210
#d15f3f,cgan,3,6.755112677269878,908.4323678199708,46.46351263671739,41.49391153353586,#4b1d13
#d15f3f,cgan,4,8.592820260952058,891.4567329417537,46.03916105711577,41.719687131560974,#472214
#d15f3f,cgan,5,10.806481216078724,891.1097841803739,45.33127763182628,41.78597371010201,#452415
#d15f3f,cgan,6,5.29530079703317,899.9915771069795,47.09415426395574,42.07042918623713,#4b1b12
#66aa55,retrieval,1,19.991172584700003,299.90521295099995,24.6554804922,7.330665422828072,#586625
#66aa55,cgan,1,44.61400199741014,707.9185732598116,28.46844156411085,75.11346450932021,#232400
#66aa55,cgan,2,43.892509476594086,710.608692723154,30.23236421927808,77.57223858738982,#242309
#66aa55,cgan,3,43.61864289959019,509.4280007757627,40.98329959779598,80.9317615503363,#0e1c00
#66aa55,cgan,4,46.26708075453632,540.5296535795139,33.26649559615311,82.42751364625042,#301e00
#66aa55,cgan,5,47.76619151703457,47.078514445688946,43.82618756611605,103.57044849779429,#030000
#66aa55,cgan,6,42.520601716470885,249.92412534618148,45.715740270229766,104.12933129873855,#040002
